16 4
1 1 6.472204153472842
1 2 1.6794441980562251
1 3 0.4518618115124827
1 4 -5.940314442095443
2 1 -4.47613982262811
2 2 0.679021550863653
2 3 -1.8520456270913648
2 4 4.664232022478227
3 1 -1.0401829212332483
3 2 0.2755438527619016
3 3 4.351791232339091
3 4 -0.4550986699303858
4 1 2.129011850625808
4 2 -7.111319883771252
4 3 0.05552676057759293
4 4 5.782335549873531
1 5 0.18108030442212697
2 6 0.19507088380502147
3 7 0.2850387836647197
4 8 0.13381883268555225
5 5 -3.7495443563842135
5 6 0.8977348525504317
5 7 -5.040360971180651
5 8 6.934467120035241
6 5 2.153113994242057
6 6 4.581601390062811
6 7 -0.05262598907344411
6 8 -4.213834982994722
7 5 5.239444785849025
7 6 -1.9839146107208354
7 7 2.5182703586888504
7 8 -3.198500175952431
8 5 -3.245923879911958
8 6 -2.613838178617665
8 7 6.135762021799448
8 8 -0.0994829814327277
5 9 0.031660482059582926
6 10 0.20960513248293544
7 11 0.06186262364724664
8 12 0.24700053889062848
5 1 0.2840237006864792
5 4 0.2929973771957905
5 2 0.02770353141669768
6 4 0.17760920257345583
5 3 0.1112662107735794
7 4 0.20171925600894386
8 4 0.0010828131364946979
9 9 0.39584942094943026
9 10 -1.7596504706596237
9 11 -0.35749488488060477
9 12 3.576456929837188
10 9 -4.961041676527304
10 10 7.799414864231728
10 11 -3.8095074498606327
10 12 3.568246499126192
11 9 5.691731343273831
11 10 -0.7688830770178716
11 11 -3.9884150333596007
11 12 -2.2494494120366917
12 9 -0.20393868721371192
12 10 -2.008080450842255
12 11 6.190013145529669
12 12 -3.086179968062573
9 13 0.14552140315166961
10 14 0.02982980169755751
11 15 0.0536149498138325
12 16 0.005599811996532455
9 5 0.04090869658682606
9 8 0.13068381176047877
9 6 0.24725714025069048
10 8 0.06607325698951601
9 7 0.2294407648245009
11 8 0.06801880552244467
12 8 0.050238101435045875
13 13 -2.6714208765939707
13 14 4.122855266948949
13 15 -0.2360859867259575
13 16 2.3712327819093892
14 13 1.046345349224168
14 14 -5.309219015205901
14 15 0.24589176796198314
14 16 3.875019728544292
15 13 0.7152058008415196
15 14 -2.8392415572076897
15 15 6.352199419351599
15 16 -7.15710587756658
16 13 2.264728434857337
16 14 5.718903129161993
16 15 -4.751272942281603
16 16 -0.0036046745123671994
13 9 0.24485539119809113
13 12 0.20590827537497078
13 10 0.22151699846783293
14 12 0.26121226126704034
13 11 0.07877302648132634
15 12 0.11149195748131871
16 12 0.2511145088612949
